,Provider Name,Complete Address,Contact No.
908,THE ISLAND CLINIC BORACAY AND DIAGNOSTIC CENTER (BALABAG BRANCH - MAIN),"0689 MAIN ROAD, BRGY. BALABAG BRGY. BALABAG MALAY AKLAN",(036) 288-4280
909,THE MEDICAL CITY,ORTIGAS AVE.  PASIG CITY METRO MANILA,(02) 7576-5220
910,THE MEDICAL CITY CLINIC (ANTIPOLO BRANCH),ANTIPOLO TRIANGLE MALL SAN LORENZO SUMULONG MEMORIAL CIRCLE  ANTIPOLO CITY RIZAL,(02) 8697-2920 / 8697-2943 / 8661-1256
911,THE MEDICAL CITY CLINIC (CAINTA BRANCH),2/F ROBINSONS BIG R SUPERCENTER JUNCTION STO DOMINGO CAINTA RIZAL,(02) 8655-0129 / 8656-0957 / 8655-0062
912,THE MEDICAL CITY CLINIC (EAST ORTIGAS BRANCH),2/F SM CITY EAST ORTIGAS ORTIGAS AVE EXT PASIG CITY METRO MANILA,(02) 8657-2230 / 8635-4867 LOC 7106 & 7107 / (0917
913,THE MEDICAL CITY CLINIC (ALI MALL BRANCH),LG/F ALIMALL PHASE II ARANETA CENTER CUBAO QUEZON CITY METRO MANILA,(02) 8709-2661
914,THE MEDICAL CITY CLINIC (COMMONWEALTH BRANCH),LG/F ONE FELICITY CENTER BLDG. LOT 8 & 9 BLOCK 17  COMMONWEALTH AVENUE QUEZON CITY METRO MANILA,(02) 8236-6690 TO 94 / 8930-7821
915,THE MEDICAL CITY CLINIC (CONGRESSIONAL BRANCH),G/F WALTERMART NORTH EDSA VETERANS VILLAGE  QUEZON CITY METRO MANILA,(02) 8332-4263 TO 65
916,THE MEDICAL CITY CLINIC (SM FAIRVIEW CLINIC 1 BRANCH),"LOWER GROUND FLOOR, SM CITY FAIRVIEW MAIN BUILDING COR REGALADO AVE QUEZON CITY METRO MANILA",(02) 8930-4808 / 8938-4667 / 8930-4822
917,THE MEDICAL CITY CLINIC (GATEWAY MALL BRANCH),"3/F GATEWAY MALL, ARANETA CENTER CUBAO QUEZON CITY METRO MANILA",(02) 8352-4481 / 8709-3969 / 8709-3970
918,THE MEDICAL CITY  ILOILO HOSPITAL INC. (FORMERLY GREAT SAVIOUR INTERNATIONAL HOSPITAL),LOCSIN STREET BRGY TAP-OC MOLO ILOILO CITY ILOILO,(033) 500-1000
919,THE MEDICAL CITY CLINIC (WALTERMART - MAKATI BRANCH),"3/F WALTERMART CENTER MAKATI, CHINO ROCES AVE. CORNER ARNAIZ ST. MAKATI CITY METRO MANILA",(02) 8403-9579 / 8856-4449 / 7744-4170
920,THE MEDICAL CITY CLINIC (MARIKINA - STA LUCIA BRANCH),"G/F STA LUCIA EAST GRAND MALL, MARCOS HIGHWAY COR FELIX AVENUE, CAINTA CAINTA RIZAL",(02) 8477-5749 / 8682-5239 / 8681-7345
921,THE MEDICAL CITY CLINIC (SM NOVALICHES BRANCH),WELLNESS ZONE 2/F SM CITY NOVALICHES SAN BARTOLOME QUEZON CITY METRO MANILA,(02) 8363-8168 / 8251-0660 / 8364-5831
922,THE MEDICAL CITY CLINIC (SM - LIPA BRANCH),"G/F SM CITY LIPA, AYALA HIGHWAY  LIPA CITY BATANGAS",(043) 981-1987 / 584-4093 / 8784-0280
923,THE MEDICAL CITY CLINIC (SM - MANILA BRANCH),"5TH LEVEL SM CITY MANILA, CONCEPCION ST. COR ARROCEROS & SAN MARCELINO STS. MANILA METRO MANILA",(02) 8527-8605 / 8575-4780 / 8526-4617
924,THE MEDICAL CITY CLINIC (SM - MARIKINA BRANCH),"G/F SM CITY MARIKINA, MARCOS HIGHWAY CALUMPANG MARIKINA CITY METRO MANILA",(02) 8477-1951 / 8477-1961 / 8477-1962
925,THE MEDICAL CITY CLINIC (TRINOMA BRANCH),LOWER MEZZANINE 1/LEVEL G TRINOMA MALL NORTH AVE. CORNER EDSA QUEZON CITY METRO MANILA,(02) 7901-3668 / 576-4665 / 943-2257 / 775-6122 / 
926,THE MEDICAL CITY CLINIC (VICTORY MALL - CALOOCAN BRANCH),"3/F VICTORY CENTRAL MALL, RIZAL AVE. MONUMENTO CALOOCAN CITY METRO MANILA",(02) 8351-4987 / 8351-4978 / 8351-3750
927,QUIJANO CLINIC & HOSPITAL INC.,NATIONAL HIGHWAY BUENAFLOR TAKURONG SULTAN KUDARAT,(064) 200-4177
928,THERA PEIA MEDICA LABORATORY CO,"JP & D HERVIAS HERITAGE SQUARE, BURGOS ST. BRGY. VILLAMONTE BACOLOD CITY NEGROS OCCIDENTAL",(034) 435-3498
929,"TOKYO HEALTHLINK, INC. (ALABANG)","UNIT R-2 EL MOLITO BLDG., MADRIGAL AVE, AYALA-ALABANG BRGY. ALABANG MUNTINLUPA METRO MANILA",(02) 8772-2678 /  8772-3316
930,UERM MEMORIAL MEDICAL CENTER,AURORA BOULEVARD STA. MESA QUEZON CITY METRO MANILA,(02) 8715-0861/8631-8626
931,ULTRASCAN DIAGNOSTIC CLINIC,SEN ENAGE CORNER T CLAUDIO STREETS BRGY. 52 TACLOBAN CITY LEYTE,(053) 321-9643
932,HI-PRECISION DIAGNOSTICS (V LUNA BRANCH),"G/F GASPAR TOWER, 31-B V LUNA AVE. CORNER MABILIS ST.  BRGY. PINYAHAN QUEZON CITY METRO MANILA",(02) 3436-8682 / 3433 8637
933,HI-PRECISION DIAGNOSTICS PLUS (ALABANG BRANCH),"SPACE NO. 2214 TO 2216 UPPER GROUND FLOOR, FESTIVAL SUPERMALL FILINVEST CITY MUNTINLUPA METRO MANILA",(02) 8776-3702/8800-5987
934,NUEVA ECIJA GOOD SAMARITAN HEALTH SYSTEMS INC. (GAPAN BRANCH),BUCANA SAN VICENTE  GAPAN NUEVA ECIJA,(044) 486-2365
935,WESLEYAN UNIVERSITY MEDICAL CENTER,TANDANG SORA STREET MABINI EXTENSION CABANATUAN CITY  CABANATUAN CITY NUEVA ECIJA,(044) 463-4735
936,METRO NORTH MEDICAL CENTER & HOSPITAL INC.,#1001 MINDANAO AVENUE BRGY. BAHAY TORO QUEZON CITY METRO MANILA,(02) 8426-1386
937,CITY OF GENERAL TRIAS DOCTORS MEDICAL CENTER INC. (FORMERLY GENTRI DOCTORS MEDICAL CENTER INC.),"METROPOLIS GREEN, GOVERNOR`S DRIVE BRGY. MANGGAHAN GENERAL TRIAS CAVITE",(046) 416-2222
938,WESTLAKE MEDICAL CENTER,NATIONAL HIGHWAY PACITA COMPLEX BRGY NUEVA SAN PEDRO LAGUNA,(02) 650-1111/(02) 403881/(02) 553-8185
939,A MAINSTREET PT CLINIC,"MCARTHUR HIGHWAY, DAVAO-BUKIDNON ROAD BRGY. CALINAN DAVAO CITY DAVAO DEL SUR",(082) 295-0710
940,E ZARATE HOSPITAL,16 J AGUILAR AVE BRGY. TALON LAS PIÃ‘AS CITY METRO MANILA,(02) 8871-1440
941,EMMANUEL MEDICAL AND DIAGNOSTIC CENTER,#2106 TAFT AVE.  MALATE MANILA METRO MANILA,(02) 8523-8009
942,INTER-INDUSTRIAL PHYSICIAN MEDICAL SERVICES INC.,"NUESTRA SENORA DELA PAZ ST. CORNER SAN ANTONIO AVE.,  PARAÃ‘AQUE METRO MANILA",(02) 8825-4117
943,MARIKINA ORTHOPEDIC SPECIALTY CLINIC,"MARIKINA ST., VINCENT GENERAL HOSPITAL, P. BURGOS ST. BRGY. CONCEPCION UNO MARIKINA CITY METRO MANILA",(02) 8286-1839/ 8941-4888
944,KARMELLI CLINIC AND HOSPITAL CORPORATION,#2 LEGASPI ST. BRGY. 29 LAOAG CITY ILOCOS NORTE,(077) 772-2752
945,TESLA IMAGERS CORPORATION,MRI SECTION RADIOLOGY DEPARTMENT GROUND FLOOR MANILA DOCTORS HOSPITAL  MANILA METRO MANILA,(02) 359-6636
946,LU MEDICAL CLINIC (PCP),"BARRIOS BLDG., QUEZON STREET BRGY. NEW PANDAN PANABO CITY DAVAO DEL NORTE",(084) 822-6061
947,ONE REHAB CDO CENTER CORPORATION,KAUSWAGAN HIGHWAY ZONE 5 CAGAYAN DE ORO CITY MISAMIS ORIENTAL,(088) 858-5241 LOC 177
948,ORMOC DOCTORS HOSPITAL,C. AVILES COR. SAN PABLO STREET  ORMOC CITY LEYTE,(053) 560-8555
949,FAMILY CARE HOSPITAL INC.,"MACARIA AVENUE, PACITA COMPLEX I  SAN PEDRO LAGUNA",(02) 869-8375
950,SURIGAO HEALTH SPECIALISTS INC.,"2/F CITY COMMERCIAL BLDG., BORROMEO STREET  SURIGAO CITY SURIGAO DEL NORTE",(086) 826-6266
951,HEALTH ATTRACTION DIAGNOSTIC INCORPORATED,N. BACALSO AVENUE  CEBU CITY CEBU,(032) 345-8140 / 407-8203
952,ST. ANNE CLINICAL LABORATORY,"3/F BMD BLDG., FS PAJARES AVENUE, COR. SANSON STREET, PAGADIAN CITY  PAGADIAN CITY ZAMBOANGA DEL SUR",(062) 215-8190
953,ALL CARE PHYSICAL THERAPY AND WELLNESS,"3F HEALTH SCIENCE AND WELLNESS CENTER METRO DAVAO AND RESEARCH CENTER INC., KM. 4 J.P. LAUREL AVENUE BRGY. BAJADA DAVAO CITY DAVAO DEL SUR",(082) 287-7777
954,GENOVE MEDICAL CLINIC (PCP),58 SAN JUAN STREET  DUMAGUETE CITY NEGROS ORIENTAL,(035) 422-1470
955,CYBERDOCS MULTI-SPECIALTY CLINIC,"4/F CYBERGATE BLDG., J LLORENTE STREET  CEBU CITY CEBU",(032) 520-6400
956,THE MEDICAL CITY CLINIC (ROBINSONS - MAGNOLIA BRANCH),L/G ROBINSONS MAGNOLIA AURORA BOULEVARD COR DONA HEMADY & N DOMI QUEZON CITY METRO MANILA,(02) 8654-5546 / 8654-5422 / 8654-5042
957,THE MEDICAL CITY CLINIC (TIMOG BRANCH),56 TIMOG AVE BRGY LAGING HANDA QUEZON CITY METRO MANILA,(02) 8921-2535 / 8709-5556
958,KLINIKAYA MEDICAL SPECIALIST INC.,UNIT 2D & E KIMSTON PLAZA P VICTOR STREET BRGY. GUADALUPE NUEVO MAKATI CITY METRO MANILA,(02) 8882-8433
959,CAVITE EAST ASIA MEDICAL CENTER INC. (FORMERLY SOUTHEAST ASIAN MEDICAL CENTER INC.),MOLINO ROAD BARANGAY MOLINO III   BACOOR CAVITE,(046) 477-0183
960,EASTERN LITHOTRIPTERS INC.,"C22 ALICANTE BUILDING, MARQUINTON CONDOMINIUM, SUMULONG HIGHWAY CORNER TOYOTA AVE. BRGY. STO. NINO MARIKINA CITY METRO MANILA",(02) 7369-3944
961,MEDCARE SPECIALTY CLINIC INC.,#88 WEST AVENUE BRGY. PHILAM QUEZON CITY METRO MANILA,(02) 386-5662
962,HEALTH QUEST DIAGNOSTIC LABORATORY & MULTI-SPECIALTY CLINIC INC.,"11 A&B TOLENTINO ST., CORNER DEL MONTE AVENUE BRGY. DAMAYAN QUEZON CITY METRO MANILA",(02) 8709-3588
963,CAPIZ DOCTORS HOSPITAL,FUENTES DRIVE  ROXAS CITY CAPIZ,(036) 621-5674/(036) 621-3889
964,CAPIZ EMMANUEL HOSPITAL INC,ROXAS AVENUE  ROXAS CITY CAPIZ,(036) 621-0443
965,DAVAO DOCTORS HOSPITAL (DUMOY SATELLITE CLINIC),MC ARTHUR HIGHWAY DUMOY TORIL DAVAO CITY DAVAO DEL SUR,(082) 295-2556
966,PDC DIAGNOSTIC CENTER (FORMERLY PAGADIAN DIAGNOSTIC CENTER),ALANO STREET SAN FRANCISCO DISTRI PAGADIAN CITY ZAMBOANGA DEL SUR,(062) 214-4900
967,CONSOLACION COMMUNITY DOCTORS INC.,NATIONAL HIGHWAY BRGY. CANSAGA CONSOLACION CEBU,(032) 564-3052
968,DR. ILDEFONSO ALCANTARA MEMORIAL HOSPITAL INC.,SARMIENTO STREET BRGY. POBLACION DALAGUETE CEBU,(032) 484-8223
969,ISIAH HOSPITAL & MEDICAL CENTER,BRGY. TULAY   ODIONGAN ROMBLON,(042) 567-2184 / (0908) 967-0808 / (0938) 428-2348
970,ACCUHEALTH DIAGNOSTIC INC,"UNIT 1 STAR ARCADE, CV STARR AVE., PHILAM VILLAGE  LAS PIÃ‘AS CITY METRO MANILA",(02) 8846-5394
971,EXPRES MEDICAL CENTER COMPANY (MALABON CITY BRANCH),#114 2ND AND 3RD FLOOR JAMYR BLDG.  MAC ARTHUR HIGHWAY  MALABON CITY METRO MANILA,(02) 281-6842
972,EXPRES MEDICAL CENTER COMPANY (QUEZON CITY BRANCH),4TH FLOOR WEST WING ROBINSONS GALLERIA   QUEZON CITY METRO MANILA,(02) 8531-8355
973,RANA MEDICAL CLINIC (PCP),ALDECOA DRIVE  DUMAGUETE CITY NEGROS ORIENTAL,0352251289
974,MP ANALYSIS & LABORATORY INC.,VLI MEDICAL PLAZA BLDG IPIL STREET CAPITOL BUSINESS CENTER BACOLOD CITY NEGROS OCCIDENTAL  BACOLOD CITY NEGROS OCCIDENTAL,(034) 435-6957
975,SINGAPORE MEDICAL LABORATORIES INC.,"4F Sterling Centre, 131 Dela Rosa St (corner of Ormaza St), Legazpi Village  MAKATI CITY METRO MANILA",(02) 824-2761
976,R.A.C.H.F. DIAGNOSTIC LABORATORY,ASC BUILDING G/F  (INFRONT OF JBL HOSPITAL) CALSARA STREET DOLORES SAN FERNANDO CITY PAMPANGA,(045) 961-5503
977,WELLZONE DIAGNOSTICS & SPECIALTY CLINIC CO,A. BONIFACIO STREET BRGY. BAGONG SIKAT LEMERY BATANGAS,(043) 321-8830
978,GAOAT GENERAL HOSPITAL,11 BEN-AGAN  BATAC ILOCOS NORTE,(077) 600-0450
979,GREAT FAITH MEDICAL PHARMACY & DIAGNOSTIC CENTER,"2/F ROOM 204-205 JC 055 VC ARCADIAN BUILDING, KM. 5 PICO  LA TRINIDAD, INCL. P BENGUET",(074) 422-4842
980,MEDHUB-LAB MULTISPECIALTY AND DIAGNOSTIC CLINIC,"UNIT 4 DONATO BUILDING, 69 RIZAL AVENUE EXTENSION, NEW BANICAIN   OLONGAPO CITY ZAMBALES",(047) 304-5195 / 602-0737
981,I.M. HEALTH MEDICAL SERVICES & WELLNESS CENTER INC.,6TH FLOOR VERTEX ONE BUILDING SAN LAZARO TOURISM & BUSINESS PARK STA. CRUZ MANILA METRO MANILA,(02) 354-6600
982,RRM DIAGNOSTIC CENTER (FORMERLY M.A. TORRES MEDICAL CENTER),2F SMRC BUILDING 331 KATIPUNAN AVENUE LOYOLA HEIGHTS  QUEZON CITY METRO MANILA,(02) 3435-0260
983,MARYMOUNT MATERNITY AND CHILDRENâ€™S HOSPITAL INC.,C.P. SORIENTE BUILDING CAMALIG  MEYCAUAYAN BULACAN,(044) 896-2231
984,TOUCH OF LIFE MEDICAL CLINIC,#158 M.L. QUEZON ST BRGY SAN ROQUE  ANTIPOLO CITY RIZAL,(02) 8696-6253
985,JNRAL FAMILY CORPORATION HOSPITAL,A SORIANO HIGHWAY BRGY. SAHUD  TANZA CAVITE,(046) 489-6398
986,UNITED DOCTORS OF ST. CAMILLUS DE LELLIS HOSPITAL,BARANGAY BOLBOK DIVE  BATANGAS CITY BATANGAS,(043) 740-3087 / 300-2901
987,SAN FRANCISCO DOCTORS HOSPITAL INC.,NATIONAL HIGHWAY BRGY HUBANG SAN FRANCISCO AGUSAN DEL SUR,(085) 839-1441
988,HOFILENA HOSPITAL,F S PAJARES AVENUE  PAGADIAN CITY ZAMBOANGA DEL SUR,(062) 215-1689
989,MEDEXPRESS MEDICAL AND DIAGNOSTIC CENTER(FORMERLY METROPOLITAN DOCTORS MEDICAL CLINICS),STATION 2 BALABAG BORACAY ISLA MALAY AKLAN,(036) 288-6357 ; 288-4258
990,HEALTH CUBE GREENHILLS INC.,#226 WILSON ST. WEST GREENHILLS SAN JUAN METRO MANILA,(02) 258-4786
991,HI-PRECISION DIAGNOSTICS PLUS (FORT BONIFACIO BRANCH),"3RD FLOOR COMMERCENTER BLDG., 31ST & 4TH AVENUE, BGC FORT BONIFACIO TAGUIG CITY METRO MANILA",(02) 8550-1735/8552-3310
992,KLINIKA MASINAG MULTI SPECIALTY & DIAGNOSTIC CLINIC,#146 SUMULONG HIGHWAY  BRGY. MAYAMOT  ANTIPOLO CITY RIZAL,(02) 8994-9033 / 8646-4136
993,THE PERLAS POLYCLINIC MEDICAL INC,#171 4TH AVENUE COR F ROXAS ST GRACE PARK CALOOCAN CITY BRGY. 52 CALOOCAN CITY METRO MANILA,(02) 8364-0033/8365-9733
994,ST. GEORGE CLINICAL LABORATORY SERVICES,#704 PUREGOLD CALOOCAN BLDG RIZAL AVENUE EXTENSION GRACE PARK CALOOCAN CITY BARANGAY REMEDIOS  CALOOCAN CITY METRO MANILA,(02) 8367-3083 / 8330-1299
995,MINDANAO MEDICAL CLINICS AND DIAGNOSTIC SERVICES INC.,#101 BUHANGIN ROAD KM 5 BUHANGIN DAVAO CITY DAVAO DEL SUR,(082) 222-1633
997,M-3 DIALYSIS CENTER INC. (BACOLOD BRANCH),B S AQUINO DRIVE  BACOLOD CITY NEGROS OCCIDENTAL,(034) 435-5036
998,BACOLOD NEUROSPECIALISTS INC,ROOM 101 VLI MEDICAL PLAZA CAPITOL SHOPPING  BACOLOD CITY NEGROS OCCIDENTAL,(034) 435-6196
999,MEDICAL MISSION GROUP MULTIPURPOSE COOPERATIVE - ALBAY (MMG-ALBAY) TABACO,"GROUND & 2ND FLOORS, MMG-ALBAY MEDICAL ARTS BUILDING, ZIGA AVENUE TAYHI  TABACO CITY ALBAY",(052) 487-5877/(052) 487-4977
1000,GREATLAB POLYCLINIC  & DRUG TESTING CENTER,2/F LIFESTYLE DISTRICT CORRALES EXTENSION  CAGAYAN DE ORO CITY MISAMIS ORIENTAL,(088) 850-2489
1001,PHILCARE MMC CLINIC,2/F TOWER 1 MAKATI MEDICAL CENTER 2 AMORSOLO ST LEGASPI VILL MAKATI  MANILA METRO MANILA,(02) 831-4751
1002,POLYHEALTH DIAGNOSTIC AND LABORATORY INC.,2ND FLOOR CENEL PLACE 239 GENERAL LUNA CORNER BURGOS ST BRGY. CONCEPCION MALABON CITY METRO MANILA,(02) 8252-9000 LOC. 128
1003,DR. NOEL BACABAC CLINIC (PCP),"RM 222 THE DOCTORS HOSPITAL, B S AQUINO DRIVE  BACOLOD CITY NEGROS OCCIDENTAL",(034) 433-2741
1004,DR. GEMMALIN TABUGA CLINIC (PCP),"RM 126 A THE DOCTORS HOSPITAL, B S AQUINO DRIVE  BACOLOD CITY NEGROS OCCIDENTAL",(034) 468-2100
1005,WINDSOR INTERNATIONAL MARITIME CLINIC INC,2ND FLOOR PALACIO GRANDE BUILDING GENERAL INTRAMUROS MANILA METRO MANILA,(02) 8521-9543
1006,SMS LABORATORY HEALTH SERVICES INC.,"67, DoÃ±a Soledad Ave., Rm. 204 EPG Bldg, Better Living Subdivision Brgy. Don Bosco PARAÃ‘AQUE METRO MANILA",(02) 8824-2761
1007,LUZON MEDICAL CENTER INC.,#329 MCARTHUR HIGHWAY  BRGY. TAPUAC  DAGUPAN CITY PANGASINAN,(075) 522-6411/(075) 656-8965
1008,M-3 DIALYSIS CENTER INC. (ILOILO BRANCH),MABINI STREET SAN AGUSTIN ILOILO CITY ILOILO,(033) 338-3372
1009,DR LILYN MAE ORIEL CLINIC (PCP),"2/F MEDLINK BUILDING, B S AQUINO DRIVE  BACOLOD CITY NEGROS OCCIDENTAL",(034) 709-0659
1010,DR. IAN NOEL JARABAS CLINIC (PCP),B S AQUINO DRIVE  BACOLOD CITY NEGROS OCCIDENTAL,(034) 433-7321
1011,METROPOLITAN DOCTORS MEDICAL CLINICS (ON-SITE APE),STATION 2 AMBULONG MALAY AKLAN,(036) 288 6357
1012,THE ISLAND CLINIC BORACAY AND DIAGNOSTIC CENTER (ON-SITE APE),0689 MAIN ROAD BRGY. BALABAG MALAY AKLAN,(036) 288-4280
1013,BACOLOD DIAGNOSTIC CENTER (ON-SITE APE),"21ST STREET, MEDICAL LANE, B. S. AQUINO DRIVE B BRGY. 5 BACOLOD CITY NEGROS OCCIDENTAL",(034) 434-9002
1014,THERA PEIA MEDICA LABORATORY CO. (ON-SITE APE),JP & D HERVIAS SQUARE BURGOS STREET  BACOLOD CITY NEGROS OCCIDENTAL,(034) 435 3498
1015,VILLANUEVA CLINICAL LABORATORY (ON-SITE APE),16TH STREET  BACOLOD CITY NEGROS OCCIDENTAL,(034) 433-5277
1016,HEALTHLINK INC. (ON-SITE APE),# 12 MABINI STREET BRGY. SAN AGUSTIN ILOILO CITY ILOILO,(033) 336-4098/(033) 508-2691
1017,"STATLAB, INC (ON-SITE APE)",FANCOM MEDICAL PLAZA  ILOILO CITY ILOILO,(033) 336 2693
1018,ALPHA DIAGNOSTIC CENTER (ON-SITE APE),F. RAMOS STREET COR. GEN. ECHAVEZ EXTENSION  CEBU CITY CEBU,(032) 255-5066/(032) 255-0243
1019,CEBU SAGRADA CORAZON HEALTH SERVICES INC (ON-SITE APE),"RM 310 CSFF CONDO, OSMENA BLVD., P BURGOS STREET  CEBU CITY CEBU",(032) 412-2925
1020,CUPSI CENTER FOR WOMENS HEALTH (ON-SITE APE),"#2  B RODRIGUEZ STREET, FUENTE OSMENA  BLVD.  CEBU CITY CEBU",(032) 254-5063
1021,PATIENT FIRST MEDICAL CLINIC AND DIAGNOSTICS CENTER CORPORATION,1418 KAMIAS ROAD COR ANONAS EXTENSION SIKATUNA VILLAGE QUEZON CITY  QUEZON CITY METRO MANILA,(02) 3433-7362
1022,GILLAMAC DIAGNOSTIC AND MEDICAL LABORATORIES INC. (ON-SITE APE),FLORA BLDG. 169 SANCIANGKO STREET  CEBU CITY CEBU,(032) 418-4090
1023,HI-PRECISION DIAGNOSTICS (WES BRANCH - ON-SITE APE),WES BLDG. 28 J. LLORENTE STREET  CEBU CITY CEBU,(032) 256-0151
1024,MEDGRUPPE POLYCLINICS AND DIAGNOSTIC CENTER (PRIMECARE CEBU - ON-SITE APE),A SORIANO JR AVENUE NORTH RECLAMATION AREA BRGY. MABOLO CEBU CITY CEBU,(032) 232-2273
1025,REACTIVE MEDICAL CLINIC & LABORATORY (ON-SITE APE),"FUENTE OSMENA BLVD CITY HALL ROAD, PUSO CEBU CITY CEBU",(032) 341-5145
1026,STANFORD MEDICAL LABORATORY (ON-SITE APE),G/F AVON PLAZA OSMENA BLVD. CAPITOL SITE CEBU CITY CEBU,(032) 253-2029/(032) 253-3296
1027,TOTAL HEALTH CHECK DIAGNOSTICS CORP. (ON-SITE APE),J. LLORENTE STREET BRGY. CAPITOL SITE CEBU CITY CEBU,(032) 268-8728 / 412-3973
1028,JAR MEDICAL NETWORKERS & DIAGNOSTIC SERVICES (MEDNET - ON-SITE APE),"RIZAL STREET, PETTIT BARRACKS  ZAMBOANGA CITY ZAMBOANGA DEL SUR",(062) 992-0557
1029,CEDAR SCIENTIFIC LABORATORY (ON-SITE APE),HAYES EXTENSION BRGY. PINIKITAN CAGAYAN DE ORO CITY MISAMIS ORIENTAL,(088) 857-3017
1030,CLINICA SPECIALISTA INC (ON-SITE APE),TIANO-MABINI STREETS  CAGAYAN DE ORO CITY MISAMIS ORIENTAL,(088) 851-1000
1031,HEALTHCHECK CLINIC & DIAGNOSTIC CENTER INC (ON-SITE APE),"UNO BLDG. A, VELEZ STREET  CAGAYAN DE ORO CITY MISAMIS ORIENTAL",(088) 852-1096
1032,BERNARDO-LACONILAO CLINICAL LABORATORY (ON-SITE APE),"BERNARDO BUILDING A, PICHON STREET  DAVAO CITY DAVAO DEL SUR",(082) 298-2581
1033,BIOANALYTICAL LABORATORY AND DIAGNOSTICS CLINIC INC (ON-SITE APE),KM. 14 PANACAN  DAVAO CITY DAVAO DEL SUR,(082) 340-3028
1034,BMCDC HEALTHCARE INC. (MATINA BRANCH - ON-SITE APE),"JLL BLDG. STO.NINO VILLAGE, MC ARTHUR HI-WAY MATINA DAVAO CITY DAVAO DEL SUR",(082) 284-5049
1035,"ANDA RIVERVIEW MEDICAL CENTER, INC - CHDCH (ON-SITE APE)",ANDA RIVERSIDE MAGALLANES STREET  DAVAO CITY DAVAO DEL SUR,(082) 221-0808/(082) 221-0852/(082) 226-3989
1036,EASTGATE MOBILE X-RAY AND DIAGNOSTIC CENTER (ON-SITE APE),FGH BLDG. PELAYO STREET  DAVAO CITY DAVAO DEL SUR,(082) 301-7293
1037,FRIENDLYCARE FOUNDATION INC. (DAVAO BRANCH - ON-SITE APE),"G/F  SPCRDC BLDG.  123 A, PICHON STREET MAGALLANES DAVAO CITY DAVAO DEL SUR",(082) 222-7970/(082) 227-4247)
1038,"POLYCLINIC DAVAO, INC. (ON-SITE APE)",S. ARTIAGA & A. QUEZON STREETS  DAVAO CITY DAVAO DEL SUR,(082) 221-1598
1039,SPECIALISTS CLINIC & DIAGNOSTIC LABORATORY INC. (DAVAO BRANCH - ON-SITE APE),STA ANA AVENUE  DAVAO CITY DAVAO DEL SUR,(082) 284 1978
1040,ST. HYACINTH DIAGNOSTIC LABORATORY (ON-SITE APE),"582 B LIM  BLDG QUIRINO STREET BARANGAY 6 A, DAVAO  DAVAO CITY DAVAO DEL SUR",(082) 221-3654
1041,UM MULTITEST LAB AND DIAGNOSTIC CENTER (ON-SITE APE),C BANGOY (FORMERLY PONCIANO) STREET CORNER BONIFACIO STREET POBLACION DISTRICT DAVAO CITY DAVAO DEL SUR,(082) 221-7980
1042,HQ LAB NI DOK DIAGNOSTICS CORP. (FORMERLY HYATT DIAGNOSTIC SYSTEM INC. - ON-SITE APE),"ANGKALIAN BLDG.,  NATIONAL HIGHWAY BRGY. LAGAO GENERAL SANTOS CITY  COTABATO",(083) 301-4605
1043,DR. MARY ANGELSON DE DIOS - BALLES MEDICAL CLINIC (PCP),"RM 524 DPOTMH, B S AQUINO DRIVE  BACOLOD CITY NEGROS OCCIDENTAL",(034) 213-2688
1044,VILLEGAS MEDICAL CLINIC (PCP),2/F HI PRECISION MANDAUE BRANCH  DIAMOND PLAZA NATIONAL HIGHWAY  MANDAUE CITY CEBU,(032) 515 7161
1045,CANTONS MEDICAL CLINIC (PCP),M V PATALINGHUG JR AVENUE BRGY. BASAK LAPU-LAPU CITY (OPON CEBU,(032) 520-1142
1046,PADA MEDICAL CLINIC (PCP),NATIONAL HIGHWAY TABUNOK TALISAY CITY CEBU,(032) 236-6277
1047,DR. CHERYL DAVID-IBAY MEDICAL CLINIC (PCP),F. LLAMAS STREET PUNTA PRINCESA CEBU CITY CEBU,(032) 414-1926
1048,DR. EVA MARIQUIT B. ABARQUEZ MEDICAL CLINIC (PCP),BASAK ROAD  LAPU-LAPU CITY (OPON CEBU,(032) 316-7003
1049,MP ANALYSIS & LABORATORY INC. (ON-SITE APE),IPIL STREET  BACOLOD CITY NEGROS OCCIDENTAL,(034) 435-6957
1050,"FAIRVIEW GENERAL HOSPITAL, INC.",LOT 20 COR MERCURY ST FAIRVIEW AVE  QUEZON CITY METRO MANILA,(02) 938-4797
1051,"STA. CRUZ MULTISPECIALTY HOSPITAL, INC.",G. DEL PILAR ST. POBLACION CALUMPIT BULACAN,(044) 913-9005 ; 815-8813
1052,LABEXPRESS MEDICAL DIAGNOSTICS,308 ALABANG ZAPOTE ROAD CORNER F OCAMPO PAMPLONA  LAS PIÃ‘AS CITY METRO MANILA,(02) 7003-8176 / 799-7144
1053,TABLAS DOCTORS HOSPITAL,N AQUINO STREET  BARANGAY LIWAYWAY  ODIONGAN ROMBLON,(042) 567-5040
1054,MANILA VISION CORRECTION CENTER INC.,#3434 RAMON MAGSAYSAY BOULEVARD STA. MESA MANILA METRO MANILA,(02) 310-6822
1055,WOMENS AND CHILDRENS COMMUNITY HOSPITAL INC,ANICETO SENO STREET CASUNTINGAN MANDAUE CITY CEBU,(032) 238-3994
